       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          296           -150           -100     0.00726761     0.00722741    -0.00555347              0              0              0
          300           -150           -100     0.00718444     0.00714096     -0.0054529              0              0              0
          304           -150           -100     0.00709679     0.00705488    -0.00535555              0              0              0
          308           -150           -100     0.00700563     0.00696911    -0.00526073              0              0              0
          312           -150           -100     0.00691448     0.00688333    -0.00516591              0              0              0
          316           -150           -100     0.00682066     0.00679811    -0.00507358              0              0              0
          320           -150           -100     0.00672335      0.0067136    -0.00498452              0              0              0
          324           -150           -100     0.00662604      0.0066291    -0.00489546              0              0              0
          328           -150           -100     0.00652736     0.00654515    -0.00480813              0              0              0
          332           -150           -100     0.00642551     0.00646244    -0.00472478              0              0              0
          336           -150           -100     0.00632366     0.00637974    -0.00464143              0              0              0
          340           -150           -100     0.00622132     0.00629739    -0.00455897              0              0              0
          344           -150           -100     0.00611666     0.00621667    -0.00448067              0              0              0
          348           -150           -100     0.00601199     0.00613596    -0.00440237              0              0              0
          352           -150           -100     0.00590593     0.00605692     -0.0043276              0              0              0
          356           -150           -100     0.00579924     0.00597865    -0.00425443              0              0              0
          360           -150           -100     0.00569256     0.00590038    -0.00418126              0              0              0
          364           -150           -100     0.00558548     0.00582319    -0.00411009              0              0              0
          368           -150           -100     0.00547769     0.00574804    -0.00404265              0              0              0
          372           -150           -100     0.00536989     0.00567289    -0.00397522              0              0              0
          376           -150           -100      0.0052621     0.00559778    -0.00390784              0              0              0
          380           -150           -100     0.00515422     0.00552605    -0.00384596              0              0              0
          384           -150           -100     0.00504634     0.00545432    -0.00378409              0              0              0
          388           -150           -100     0.00493845     0.00538258    -0.00372221              0              0              0
          392           -150           -100      0.0048312      0.0053138    -0.00366463              0              0              0
          396           -150           -100     0.00472425     0.00524647    -0.00360914              0              0              0
          400           -150           -100      0.0046173     0.00517914    -0.00355366              0              0              0
         -200           -146           -100    -0.00522993      0.0070582    -0.00502074              0              0              0
         -196           -146           -100    -0.00536596     0.00709885    -0.00505949              0              0              0
         -192           -146           -100    -0.00550199     0.00713949    -0.00509825              0              0              0
         -188           -146           -100    -0.00563802     0.00718014    -0.00513701              0              0              0
         -184           -146           -100    -0.00577405     0.00722079    -0.00517576              0              0              0
         -180           -146           -100    -0.00591008     0.00726143    -0.00521452              0              0              0
         -176           -146           -100    -0.00604169     0.00733511    -0.00529027              0              0              0
         -172           -146           -100    -0.00617215     0.00741743     -0.0053757              0              0              0
         -168           -146           -100     -0.0063026     0.00749975    -0.00546114              0              0              0
         -164           -146           -100    -0.00643305     0.00758208    -0.00554657              0              0              0

#
# FILE TRUNCATED
#
# Included in repository to show CST's ASCII output format.
# Original file size = 222 MB
#
