       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          220           -150           -100      0.0192255      0.0452841              0              0              0              0
          222           -150           -100      0.0191043      0.0451773              0              0              0              0
          224           -150           -100      0.0189825      0.0450706              0              0              0              0
          226           -150           -100      0.0188607      0.0449639              0              0              0              0
          228           -150           -100      0.0187343      0.0448576              0              0              0              0
          230           -150           -100      0.0186066      0.0447513              0              0              0              0
          232           -150           -100      0.0184752      0.0446454              0              0              0              0
          234           -150           -100      0.0183432      0.0445396              0              0              0              0
          236           -150           -100      0.0182067      0.0444343              0              0              0              0
          238           -150           -100      0.0180699      0.0443291              0              0              0              0
          240           -150           -100      0.0179319       0.044224              0              0              0              0
          242           -150           -100      0.0177898      0.0441197              0              0              0              0
          244           -150           -100      0.0176477      0.0440153              0              0              0              0
          246           -150           -100      0.0175032      0.0439114              0              0              0              0
          248           -150           -100      0.0173563       0.043808              0              0              0              0
          250           -150           -100      0.0172094      0.0437046              0              0              0              0
          252           -150           -100       0.017059      0.0436021              0              0              0              0
          254           -150           -100      0.0169077      0.0434998              0              0              0              0
          256           -150           -100       0.016756      0.0433976              0              0              0              0
          258           -150           -100      0.0166006      0.0432966              0              0              0              0
          260           -150           -100      0.0164451      0.0431955              0              0              0              0
          262           -150           -100      0.0162884       0.043095              0              0              0              0
          264           -150           -100      0.0161292      0.0429954              0              0              0              0
          266           -150           -100      0.0159699      0.0428958              0              0              0              0
          268           -150           -100      0.0158086      0.0427971              0              0              0              0
          270           -150           -100      0.0156461       0.042699              0              0              0              0
          272           -150           -100      0.0154832       0.042601              0              0              0              0
          274           -150           -100      0.0153177      0.0425044              0              0              0              0
          276           -150           -100      0.0151523      0.0424079              0              0              0              0
          278           -150           -100      0.0149825      0.0423142              0              0              0              0
          280           -150           -100      0.0148102      0.0422222              0              0              0              0
          282           -150           -100       0.014638      0.0421302              0              0              0              0
          284           -150           -100      0.0144657      0.0420382              0              0              0              0
          286           -150           -100      0.0142935      0.0419461              0              0              0              0
          288           -150           -100      0.0141212      0.0418541              0              0              0              0
          290           -150           -100       0.013949      0.0417621              0              0              0              0
          292           -150           -100      0.0137767      0.0416701              0              0              0              0
          294           -150           -100      0.0136045      0.0415781              0              0              0              0
          296           -150           -100      0.0134322      0.0414861              0              0              0              0
          298           -150           -100      0.0132549      0.0413995              0              0              0              0
          300           -150           -100      0.0130747      0.0413159              0              0              0              0
          302           -150           -100      0.0128946      0.0412323              0              0              0              0
          304           -150           -100      0.0127144      0.0411487              0              0              0              0
          306           -150           -100      0.0125342      0.0410651              0              0              0              0
          308           -150           -100       0.012354      0.0409815              0              0              0              0
          310           -150           -100      0.0121738       0.040898              0              0              0              0
          312           -150           -100      0.0119936      0.0408144              0              0              0              0
          314           -150           -100      0.0118134      0.0407308              0              0              0              0
          316           -150           -100      0.0116332      0.0406472              0              0              0              0
          318           -150           -100      0.0114494        0.04057              0              0              0              0
          320           -150           -100      0.0112635      0.0404964              0              0              0              0
          322           -150           -100      0.0110776      0.0404229              0              0              0              0
          324           -150           -100      0.0108918      0.0403493              0              0              0              0
          326           -150           -100      0.0107059      0.0402758              0              0              0              0
          328           -150           -100        0.01052      0.0402022              0              0              0              0
          330           -150           -100      0.0103342      0.0401287              0              0              0              0
          332           -150           -100      0.0101483      0.0400551              0              0              0              0
          334           -150           -100     0.00996242      0.0399816              0              0              0              0
          336           -150           -100     0.00977654       0.039908              0              0              0              0
          338           -150           -100     0.00958795      0.0398419              0              0              0              0
          340           -150           -100      0.0093978      0.0397801              0              0              0              0
          342           -150           -100     0.00920765      0.0397183              0              0              0              0
          344           -150           -100      0.0090175      0.0396565              0              0              0              0
          346           -150           -100     0.00882735      0.0395946              0              0              0              0
          348           -150           -100      0.0086372      0.0395328              0              0              0              0
          350           -150           -100     0.00844705       0.039471              0              0              0              0
          -50           -148           -100    -0.00483671       0.057307              0              0              0              0
          -48           -148           -100    -0.00481554      0.0572917              0              0              0              0
          -46           -148           -100    -0.00479438      0.0572764              0              0              0              0
          -44           -148           -100    -0.00477321      0.0572611              0              0              0              0
          -42           -148           -100    -0.00475204      0.0572458              0              0              0              0
          -40           -148           -100    -0.00462163       0.057222              0              0              0              0
          -38           -148           -100     -0.0044599      0.0571958              0              0              0              0
          -36           -148           -100    -0.00429817      0.0571696              0              0              0              0
          -34           -148           -100    -0.00413644      0.0571434              0              0              0              0
          -32           -148           -100    -0.00397471      0.0571172              0              0              0              0
          -30           -148           -100    -0.00381298       0.057091              0              0              0              0

#
# FILE TRUNCATED
#
# Included in repository to show CST's ASCII output format.
# Original file size = 786 MB
#
