       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          396           -150           -100     0.00279237     0.00308281    -0.00217733              0              0              0
          400           -150           -100     0.00272761     0.00304206    -0.00214117              0              0              0
         -200           -146           -100    -0.00310053     0.00422954    -0.00312906              0              0              0
         -196           -146           -100    -0.00317929     0.00425381    -0.00315429              0              0              0
         -192           -146           -100    -0.00325805     0.00427807    -0.00317951              0              0              0
         -188           -146           -100    -0.00333681     0.00430234    -0.00320473              0              0              0
         -184           -146           -100    -0.00341557     0.00432661    -0.00322995              0              0              0
         -180           -146           -100    -0.00349432     0.00435087    -0.00325517              0              0              0
         -176           -146           -100    -0.00357087     0.00438952     -0.0032983              0              0              0
         -172           -146           -100    -0.00364581     0.00443868    -0.00335453              0              0              0
         -168           -146           -100    -0.00372075     0.00448783    -0.00341075              0              0              0
         -164           -146           -100    -0.00379569     0.00453699    -0.00346697              0              0              0
         -160           -146           -100    -0.00387062     0.00458615    -0.00352319              0              0              0

#
# FILE TRUNCATED
#
# Included in repository to show CST's ASCII output format.
# Original file size = 222 MB
#
